Quantity,Value,Footprint,Reference
1,100nF/25V/2010,C2010,C1
1,1N4148/DO35,DO35_1K_2A,D1
1,HN1x2,HN1x2,PGM/DBG1
1,MDR6_MINI-DIN,PS2_MDR6_MINI-DIN,PS2_KBD1
1,PWRJ-2mm(YDJ-1134),PWRJ-2mm(YDJ-1136),PWR_JACK1
1,LED/PTH/5MM/RED,LED-5mm-PTH-KA,PWR_LED1
4,2k/1/8W,R_0.125W_PTH,"R1, R5, R6, R8"
3,470R/1/8W,R_0.125W_PTH,"R2, R3, R4"
1,100R/1/8W,R_0.125W_PTH,R7
1,Speaker_QMB-09B-03(1.5-5.0V_2.7kHz_F9.0mm*H5.5mm),Speaker_QMB-09B-03_1-Plus_2-Minus,SPK1
1,2N3904,TO-92_PTH,T1
1,CH32V003J4M6(SOP8),SOIC-8_150mil,U1
1,HDR15-3.08-14.5T/VGA15/14.5mm,VGA15-F(HDR15-3.08-14.5T)_DrillSlot,VGA1
